"Airbnbid","host_id","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"778381","3043126","Brooklyn","Bedford-Stuyvesant","40.6953","-73.95832","Private room","75","1","28","2019-06-01","0.36","1","365"
"779561","4110491","Manhattan","West Village","40.73652","-74.00876","Entire home/apt","140","30","18","2019-06-22","0.29","1","182"
"779838","4040811","Manhattan","Upper West Side","40.7982","-73.97173","Entire home/apt","200","2","8","2019-06-02","0.53","1","337"
"780205","4092307","Manhattan","Civic Center","40.71247","-73.99873","Entire home/apt","225","3","3","2017-01-02","0.07","2","189"
"780858","4118217","Brooklyn","Fort Greene","40.68798","-73.97442","Entire home/apt","145","7","4","2018-11-03","0.05","1","36"
"781486","2723812","Bronx","Port Morris","40.80461","-73.92276","Private room","60","3","86","2017-12-12","1.13","2","1"
"782554","1830890","Manhattan","West Village","40.73364","-74.00539","Entire home/apt","189","2","68","2019-07-01","0.92","1","63"
"783341","4111640","Manhattan","Lower East Side","40.71502","-73.98192","Private room","69","7","48","2019-06-21","0.61","1","235"
"783964","2347382","Queens","Long Island City","40.74997","-73.9397","Private room","70","1","148","2019-06-01","1.9","2","303"
"784124","3483450","Brooklyn","Bedford-Stuyvesant","40.68176","-73.914","Entire home/apt","149","2","67","2019-07-06","0.88","3","329"
"784169","4135221","Manhattan","West Village","40.73186","-74.00329","Private room","160","1","148","2019-06-21","1.83","1","295"
"784170","430188","Brooklyn","Williamsburg","40.70719","-73.95228","Private room","100","20","1","2014-06-10","0.02","6","214"
"785166","2840710","Manhattan","Lower East Side","40.71818","-73.98206","Entire home/apt","220","25","1","2013-10-17","0.01","1","350"
"785508","873273","Manhattan","Washington Heights","40.84448","-73.93978","Private room","85","2","211","2019-07-02","2.63","2","339"
"786053","2478675","Brooklyn","Prospect-Lefferts Gardens","40.65545","-73.95781","Private room","45","1","168","2019-06-01","2.3","5","359"
"786685","4147380","Manhattan","Harlem","40.82294","-73.94999","Entire home/apt","225","1","50","2019-06-14","0.72","1","265"
"786843","3117671","Brooklyn","Williamsburg","40.71222","-73.95827","Entire home/apt","145","3","121","2019-07-02","1.51","1","45"
"786955","4148114","Manhattan","West Village","40.73403","-74.00298","Entire home/apt","210","1","108","2019-07-02","1.35","1","305"
"788005","4153591","Brooklyn","Prospect Heights","40.67708","-73.96649","Entire home/apt","195","4","10","2019-03-16","0.13","1","95"
"788106","3106826","Manhattan","West Village","40.73761","-74.00043","Entire home/apt","140","2","34","2018-08-31","0.43","1","159"
"790767","1212041","Manhattan","East Village","40.72877","-73.98794","Entire home/apt","250","9","2","2019-04-26","0.2","2","126"
"791452","2556784","Bronx","Fieldston","40.88757","-73.90522","Entire home/apt","60","1","25","2019-07-05","0.67","1","311"
"792835","180416","Manhattan","Lower East Side","40.71703","-73.98612","Entire home/apt","159","2","260","2019-06-27","3.58","1","141"
"794156","58366","Manhattan","Upper West Side","40.77445","-73.98496","Entire home/apt","210","30","48","2019-01-03","0.6","1","36"
"794425","4185135","Brooklyn","Windsor Terrace","40.65954","-73.97805","Entire home/apt","199","265","20","2018-07-27","0.32","2","90"
"794535","4186145","Manhattan","Chelsea","40.75351","-73.99762","Entire home/apt","225","7","3","2015-09-26","0.06","1","250"
"794567","4103779","Brooklyn","Prospect-Lefferts Gardens","40.65586","-73.95953","Private room","82","3","62","2019-06-22","0.8","1","247"
"795198","2333904","Manhattan","East Village","40.72381","-73.97896","Private room","75","26","58","2019-06-07","0.73","3","129"
"795680","4191209","Manhattan","Upper East Side","40.7666","-73.95903","Entire home/apt","105","14","7","2019-01-06","0.16","1","84"
"796370","61491","Manhattan","Upper East Side","40.77043","-73.9515","Entire home/apt","150","25","1","2017-09-30","0.05","2","207"
"796523","4195861","Brooklyn","Crown Heights","40.67759","-73.95432","Entire home/apt","150","4","13","2019-01-02","0.3","2","15"
"797972","3882661","Manhattan","Gramercy","40.73493","-73.98655","Entire home/apt","130","3","26","2019-06-28","0.32","2","19"
"798429","4204890","Manhattan","Harlem","40.82536","-73.94923","Entire home/apt","115","3","186","2019-06-17","2.32","1","237"
"799319","838848","Brooklyn","Fort Greene","40.69075","-73.97192","Entire home/apt","128","5","154","2019-05-13","1.93","1","301"
"799484","1475015","Manhattan","Kips Bay","40.7449","-73.97656","Entire home/apt","116","30","5","2019-03-11","0.09","52","311"
"799945","149929","Brooklyn","Fort Greene","40.68537","-73.97713","Private room","40","8","32","2019-06-29","0.4","5","284"
"800051","195932","Brooklyn","Williamsburg","40.7176","-73.95234","Entire home/apt","200","10","6","2018-04-30","0.09","1","174"
"801626","22486","Brooklyn","Park Slope","40.68015","-73.978","Private room","115","2","25","2019-05-26","0.36","6","89"
"802498","512878","Manhattan","Harlem","40.82974","-73.94193","Private room","85","1","190","2019-06-30","3.7","2","178"
"803237","3642035","Brooklyn","Crown Heights","40.67504","-73.95273","Entire home/apt","250","4","6","2019-01-02","0.08","1","250"
"803778","4230317","Manhattan","NoHo","40.72591","-73.99452","Entire home/apt","465","30","47","2019-05-31","0.67","1","277"
"804246","4233030","Manhattan","Chinatown","40.71786","-73.99518","Private room","195","3","61","2019-06-30","0.77","1","134"
"804815","4112902","Manhattan","Washington Heights","40.83329","-73.93834","Private room","36","1","33","2019-06-18","0.77","1","211"
"805218","4238591","Brooklyn","Greenpoint","40.73159","-73.95048","Private room","85","2","36","2019-06-14","0.45","1","278"
"806038","4113132","Queens","Elmhurst","40.73698","-73.87763","Private room","45","3","89","2019-06-28","1.12","3","213"
"806040","4113132","Queens","Elmhurst","40.73842","-73.87609","Private room","45","3","125","2019-06-23","1.57","3","208"
"807535","4249297","Brooklyn","Williamsburg","40.70876","-73.94971","Private room","79","5","5","2019-01-02","0.21","2","198"
"808476","3775799","Manhattan","Harlem","40.83378","-73.94966","Private room","85","1","1","2013-11-01","0.01","1","365"
"808618","4254417","Queens","Kew Gardens","40.70947","-73.82922","Private room","60","3","12","2019-06-08","0.31","1","351"
"808774","4255290","Brooklyn","Williamsburg","40.7119","-73.96031","Entire home/apt","160","30","19","2019-04-26","0.26","1","59"
"808851","1289936","Manhattan","East Harlem","40.78728","-73.94579","Private room","95","4","150","2019-06-23","1.88","1","192"
"811238","4266017","Manhattan","Harlem","40.80586","-73.94642","Entire home/apt","165","7","8","2016-08-15","0.1","1","234"
"811450","4267089","Brooklyn","Bedford-Stuyvesant","40.68194","-73.92757","Private room","79","4","1","2015-01-02","0.02","1","359"
"812057","4065620","Brooklyn","Bedford-Stuyvesant","40.68509","-73.93854","Entire home/apt","215","3","1","2013-01-01","0.01","2","300"
"812467","574584","Brooklyn","Kensington","40.63547","-73.97417","Private room","49","1","61","2019-06-23","0.95","1","100"
"812671","4271822","Brooklyn","Park Slope","40.67138","-73.97772","Entire home/apt","190","3","76","2019-06-13","0.95","1","48"
"812938","4272748","Manhattan","Chelsea","40.74082","-73.99581","Entire home/apt","99","2","52","2018-04-07","0.65","1","30"
"813225","149929","Brooklyn","Fort Greene","40.68871","-73.97181","Private room","68","8","37","2019-07-02","0.5","5","280"
"813554","4275254","Brooklyn","Park Slope","40.67228","-73.97248","Entire home/apt","185","30","36","2019-05-28","0.58","1","358"
"813793","4276374","Manhattan","Lower East Side","40.71988","-73.98639","Entire home/apt","225","4","92","2019-06-24","1.47","1","67"
"814327","4279005","Manhattan","Upper East Side","40.77171","-73.95042","Private room","81","10","64","2019-05-04","0.93","1","311"
"815045","4281957","Manhattan","West Village","40.73227","-74.00949","Entire home/apt","340","7","38","2018-01-02","0.54","1","302"
"815465","4284154","Manhattan","Harlem","40.80139","-73.95433","Entire home/apt","135","3","205","2019-06-11","3.19","2","184"
"816888","2805766","Manhattan","Washington Heights","40.85604","-73.93469","Entire home/apt","100","30","13","2018-11-28","0.18","1","219"
"817113","1141935","Brooklyn","Crown Heights","40.67309","-73.94799","Private room","109","1","73","2019-06-23","0.92","3","284"
"818084","128256","Manhattan","Greenwich Village","40.72825","-74.00225","Entire home/apt","290","2","70","2019-05-31","0.92","1","339"
"818325","4298167","Manhattan","Kips Bay","40.7445","-73.97583","Entire home/apt","148","5","29","2019-06-01","0.37","1","188"
"818337","4241953","Queens","Flushing","40.75979","-73.81016","Private room","57","2","17","2019-06-22","0.21","4","308"
"818481","4299040","Manhattan","Harlem","40.82258","-73.95418","Private room","60","2","67","2019-06-28","0.88","4","117"
"818518","4299040","Manhattan","Harlem","40.82238","-73.95534","Private room","60","2","48","2019-06-23","0.61","4","114"
"819206","4306950","Manhattan","East Harlem","40.79106","-73.95058","Shared room","45","2","107","2019-06-24","1.5","1","313"
"819228","4299040","Manhattan","Harlem","40.82173","-73.95548","Private room","60","2","33","2019-05-28","0.46","4","211"
"819419","4303726","Brooklyn","Clinton Hill","40.68443","-73.96337","Entire home/apt","125","3","124","2019-05-27","1.56","1","158"
"819893","4299040","Manhattan","Harlem","40.82233","-73.95568","Private room","60","2","36","2019-05-19","0.54","4","133"
"819956","9269794","Brooklyn","Bedford-Stuyvesant","40.68615","-73.93095","Private room","75","2","38","2019-01-02","0.51","1","365"
"820218","337159","Manhattan","East Village","40.73131","-73.98609","Entire home/apt","121","2","6","2018-09-05","0.09","1","156"
"820710","4310378","Brooklyn","Clinton Hill","40.69413","-73.96389","Private room","89","2","89","2019-01-01","1.12","3","318"
"820953","4105474","Brooklyn","Greenpoint","40.72166","-73.94037","Entire home/apt","99","7","10","2019-01-01","0.13","1","81"
"822016","61873","Brooklyn","Crown Heights","40.67231","-73.96032","Private room","90","2","24","2019-07-03","0.3","1","30"
"823520","4323625","Manhattan","Chelsea","40.75284","-74.00138","Private room","179","2","251","2019-07-03","3.15","1","157"
"823618","4324286","Manhattan","Harlem","40.81024","-73.94154","Private room","80","4","41","2019-06-20","0.52","2","119"
"823631","4324286","Manhattan","Harlem","40.80997","-73.93992","Private room","65","5","29","2019-05-18","0.4","2","186"
"823880","69685","Manhattan","Lower East Side","40.72125","-73.99272","Private room","69","1","322","2019-07-04","4.46","1","84"
"824163","4317067","Brooklyn","Bushwick","40.69763","-73.93102","Private room","42","1","18","2016-10-03","0.35","1","60"
"825193","4330726","Brooklyn","Park Slope","40.67507","-73.97792","Entire home/apt","155","5","22","2019-05-09","0.28","1","189"
"825486","4331441","Manhattan","Upper East Side","40.76744","-73.96118","Entire home/apt","135","1","225","2019-06-18","2.83","1","19"
"825545","872805","Manhattan","Greenwich Village","40.73336","-73.99836","Private room","120","21","79","2019-07-07","1.04","2","34"
"826307","4192794","Staten Island","Tompkinsville","40.63132","-74.08799","Private room","47","1","20","2016-11-06","0.26","1","323"
"826388","359447","Manhattan","Harlem","40.80394","-73.9506","Private room","69","4","18","2019-04-25","0.23","1","280"
"826603","4079140","Brooklyn","Crown Heights","40.67828","-73.95646","Private room","100","2","37","2015-11-10","0.52","1","2"
"826685","94669","Brooklyn","Bedford-Stuyvesant","40.68407","-73.93944","Private room","51","3","36","2019-06-23","3.04","2","32"
"826690","4289240","Brooklyn","Prospect Heights","40.67919","-73.97191","Entire home/apt","4000","4","0","","null","1","83"
"826764","4336760","Manhattan","Chelsea","40.73588","-73.99224","Private room","65","180","2","2019-06-02","0.07","1","263"
"827719","611137","Brooklyn","Clinton Hill","40.68334","-73.96704","Private room","60","3","126","2019-06-27","3.59","2","120"
"828130","4210082","Brooklyn","Prospect-Lefferts Gardens","40.66229","-73.96296","Private room","70","1","84","2016-10-08","1.06","1","188"
"828553","3882661","Manhattan","Gramercy","40.7349","-73.98549","Entire home/apt","130","3","26","2019-06-23","0.41","2","23"
"828685","1865527","Brooklyn","Bedford-Stuyvesant","40.6938","-73.94698","Private room","70","1","37","2019-06-10","0.48","3","325"
"828796","4344588","Brooklyn","Clinton Hill","40.68673","-73.96252","Entire home/apt","200","2","267","2019-06-19","3.37","1","266"
"829935","4348003","Manhattan","Washington Heights","40.83783","-73.93832","Entire home/apt","130","5","47","2019-06-12","0.59","1","9"
"830840","4350748","Brooklyn","Midwood","40.62908","-73.95965","Private room","68","7","1","2012-12-12","0.01","1","87"
"830949","4352069","Manhattan","East Village","40.72632","-73.97907","Private room","79","1","137","2019-06-20","1.98","2","298"
"833519","4112404","Manhattan","Washington Heights","40.85123","-73.93223","Private room","40","15","4","2019-01-01","0.05","3","353"
"834088","4363775","Brooklyn","Greenpoint","40.73184","-73.95802","Private room","55","11","11","2018-08-31","0.23","3","11"
"834190","2369681","Manhattan","Lower East Side","40.71921","-73.99116","Private room","99","2","540","2019-07-06","6.95","1","179"
"836578","1268505","Manhattan","Chelsea","40.74372","-74.00021","Entire home/apt","240","7","26","2019-05-13","0.37","1","330"
"836720","4372934","Queens","College Point","40.78417","-73.83875","Entire home/apt","400","2","47","2019-06-11","0.61","1","361"
"837282","4375496","Manhattan","Tribeca","40.71969","-74.00876","Entire home/apt","235","3","5","2015-10-04","0.08","1","177"
"837503","265525","Brooklyn","Bedford-Stuyvesant","40.69165","-73.95456","Entire home/apt","96","5","224","2019-06-21","2.82","1","77"
"837958","4378763","Queens","Long Island City","40.7529","-73.92985","Private room","63","2","26","2014-07-13","0.33","3","249"
"838070","240048","Brooklyn","Sunset Park","40.66059","-73.99361","Entire home/apt","150","10","8","2018-06-23","0.17","2","176"
"839539","3200135","Manhattan","East Village","40.72876","-73.98413","Private room","80","7","0","","null","1","31"
"840594","4389865","Manhattan","West Village","40.73126","-74.00502","Entire home/apt","400","7","7","2018-10-13","0.1","1","365"
"840667","4390058","Manhattan","Greenwich Village","40.73075","-73.99265","Entire home/apt","349","3","17","2016-11-26","0.21","1","356"
"840731","4390639","Manhattan","East Village","40.73345","-73.98956","Entire home/apt","495","2","66","2019-07-01","0.93","1","334"
"840794","4390881","Brooklyn","Prospect Heights","40.6763","-73.96528","Entire home/apt","85","14","13","2019-01-26","0.17","1","22"
"841211","3665164","Manhattan","Chelsea","40.7466","-73.99219","Private room","999","10","30","2016-10-12","0.4","1","365"
"841292","4393626","Manhattan","Chelsea","40.74712","-73.99514","Private room","109","3","26","2019-05-27","0.36","2","18"
"841484","2682735","Manhattan","Lower East Side","40.71892","-73.98627","Entire home/apt","175","3","50","2019-06-30","0.63","1","1"
"842167","2257960","Manhattan","Chinatown","40.71593","-73.99031","Entire home/apt","150","4","14","2019-05-28","0.31","1","18"
"842176","3330412","Brooklyn","Williamsburg","40.71541","-73.94464","Private room","80","4","80","2017-10-18","1.08","1","245"
"843003","864735","Queens","Astoria","40.75665","-73.92015","Entire home/apt","107","30","15","2019-04-30","0.19","8","268"
"843036","4401623","Manhattan","Washington Heights","40.84714","-73.94172","Entire home/apt","80","60","22","2019-04-17","0.28","1","226"
"843491","4241953","Queens","Flushing","40.76074","-73.80969","Private room","80","3","8","2019-01-04","0.17","4","342"
"843524","673406","Brooklyn","Bushwick","40.70234","-73.92424","Entire home/apt","800","1","34","2019-07-01","0.45","1","365"
"844319","683027","Brooklyn","Flatbush","40.62961","-73.9572","Entire home/apt","130","1","219","2019-06-13","2.91","1","237"
"845517","4414425","Brooklyn","Clinton Hill","40.69691","-73.96713","Private room","36","1","8","2019-05-26","0.1","1","83"
"846190","3159197","Brooklyn","Prospect-Lefferts Gardens","40.66251","-73.95374","Entire home/apt","140","2","11","2019-06-27","0.18","1","35"
"846275","1732005","Manhattan","Lower East Side","40.72003","-73.98693","Entire home/apt","145","2","220","2019-06-21","2.97","1","268"
"846470","430188","Brooklyn","Williamsburg","40.70694","-73.95307","Private room","75","18","5","2019-05-11","0.06","6","112"
"846799","4421935","Brooklyn","Bushwick","40.7077","-73.92212","Private room","69","30","51","2017-05-24","0.67","1","7"
"846854","4422368","Manhattan","Upper West Side","40.78689","-73.97314","Entire home/apt","300","30","93","2019-06-08","1.24","1","284"
"846871","3179895","Manhattan","Upper West Side","40.78429","-73.97815","Private room","131","2","220","2019-06-23","2.85","1","1"
"848087","3526444","Brooklyn","Bedford-Stuyvesant","40.68196","-73.95168","Entire home/apt","100","5","15","2019-06-04","0.25","1","94"
"848220","4425694","Manhattan","Upper East Side","40.76714","-73.95922","Entire home/apt","160","1","187","2019-05-24","2.36","1","221"
"848707","4241953","Queens","Flushing","40.76","-73.81117","Private room","60","2","17","2018-10-07","0.22","4","314"
"848718","4375988","Brooklyn","Prospect-Lefferts Gardens","40.6593","-73.95686","Private room","75","3","46","2019-06-06","0.82","3","311"
"848722","4241953","Queens","Flushing","40.76014","-73.81146","Private room","45","2","39","2019-06-07","0.52","4","292"
"848853","4432173","Manhattan","Harlem","40.80712","-73.95316","Private room","65","2","15","2018-05-16","0.2","1","361"
"849603","4435623","Brooklyn","Crown Heights","40.67525","-73.9486","Entire home/apt","100","7","52","2019-06-15","0.67","1","56"
"850097","4438960","Manhattan","West Village","40.73118","-74.0029","Entire home/apt","235","2","97","2019-04-10","1.47","1","40"
"850148","2843998","Brooklyn","Williamsburg","40.7106","-73.96532","Private room","85","2","35","2019-05-04","0.55","2","365"
"850198","4439578","Manhattan","Upper East Side","40.77815","-73.95902","Entire home/apt","195","31","8","2013-06-28","0.1","1","273"
"850338","4440548","Brooklyn","Williamsburg","40.71427","-73.94671","Entire home/apt","145","3","166","2019-06-20","2.15","2","151"
"850435","4441020","Brooklyn","Williamsburg","40.71731","-73.95627","Entire home/apt","55","30","0","","null","1","159"
"850517","254846","Brooklyn","Bushwick","40.68646","-73.91313","Entire home/apt","289","3","38","2019-05-20","0.51","4","354"
"850712","4442608","Manhattan","Greenwich Village","40.73132","-73.99979","Entire home/apt","120","30","17","2019-06-30","0.27","1","231"
"850943","2843998","Brooklyn","Williamsburg","40.71171","-73.96694","Entire home/apt","149","5","26","2019-04-22","0.41","2","14"
"851130","4444170","Manhattan","Washington Heights","40.84764","-73.93875","Shared room","100","1","31","2018-10-08","0.4","1","364"
"851772","4445677","Manhattan","Upper East Side","40.7704","-73.95024","Entire home/apt","166","1","15","2014-09-06","0.19","1","188"
"851784","4446767","Manhattan","Washington Heights","40.85016","-73.93178","Entire home/apt","99","3","106","2019-07-04","1.43","1","331"
"852118","3259274","Brooklyn","Crown Heights","40.67434","-73.95728","Entire home/apt","150","2","37","2019-05-19","0.58","2","230"
"852632","4451246","Brooklyn","Gowanus","40.66893","-73.99404","Shared room","44","2","155","2019-07-01","2.11","1","325"
"852949","4453107","Manhattan","Greenwich Village","40.72977","-74.00164","Entire home/apt","195","2","12","2019-05-15","0.18","1","90"
"854033","4092307","Manhattan","Civic Center","40.7123","-73.99946","Private room","100","4","8","2019-04-21","0.11","2","7"
"854253","4461145","Brooklyn","Flatbush","40.6489","-73.96872","Entire home/apt","60","5","3","2019-04-30","0.06","1","189"
"854521","4463092","Manhattan","Harlem","40.80925","-73.95541","Private room","62","2","45","2019-07-04","0.64","2","310"
"855462","4469832","Manhattan","Lower East Side","40.72034","-73.98585","Private room","90","15","25","2018-10-10","0.46","1","35"
"855549","213020","Manhattan","Upper West Side","40.79279","-73.97131","Private room","88","1","100","2019-07-05","1.41","3","98"
"855919","4473860","Manhattan","Harlem","40.80845","-73.94435","Entire home/apt","125","1","64","2019-07-01","1.37","1","135"
"856304","524575","Brooklyn","Flatbush","40.6483","-73.9644","Private room","74","1","8","2015-10-19","0.1","1","283"
"856918","4481005","Brooklyn","Park Slope","40.67422","-73.98097","Private room","62","2","11","2018-10-29","0.14","2","158"
"857810","4487224","Brooklyn","Williamsburg","40.71373","-73.94958","Entire home/apt","249","3","31","2015-09-27","0.4","1","365"
"858223","4431107","Manhattan","Chelsea","40.73818","-73.9977","Entire home/apt","200","2","82","2019-06-08","2.02","3","157"
"858695","4494343","Bronx","Mount Eden","40.84058","-73.91382","Private room","30","2","291","2019-06-20","3.69","1","208"
"859023","1536441","Brooklyn","Gowanus","40.66958","-73.98998","Entire home/apt","240","2","22","2018-10-27","0.29","1","280"
"859596","4500999","Manhattan","East Harlem","40.79541","-73.94465","Private room","100","1","58","2019-07-02","0.83","2","316"
"860163","4504962","Manhattan","East Harlem","40.78844","-73.94951","Entire home/apt","125","2","71","2019-07-02","0.9","1","199"
"860401","1603942","Brooklyn","Fort Greene","40.68681","-73.97675","Entire home/apt","149","29","86","2018-09-01","1.1","2","125"
"860827","4524130","Brooklyn","Clinton Hill","40.68707","-73.96571","Entire home/apt","170","1","315","2019-06-22","4.03","1","275"
"862890","4224309","Manhattan","Washington Heights","40.85081","-73.93118","Private room","150","2","3","2019-05-31","0.15","1","365"
"864790","4538664","Manhattan","Upper West Side","40.77366","-73.98574","Private room","125","4","77","2019-05-25","0.99","1","326"
"864981","1650330","Brooklyn","Sunset Park","40.64902","-74.00897","Private room","68","5","43","2019-05-26","0.56","2","282"
"865355","4543792","Manhattan","Harlem","40.82719","-73.94484","Private room","90","7","35","2019-04-30","0.48","1","312"
"866890","4555996","Manhattan","Harlem","40.82316","-73.94129","Private room","65","3","68","2019-07-05","0.88","2","361"
"867020","4363775","Brooklyn","Greenpoint","40.73404","-73.95737","Private room","50","31","10","2018-07-20","0.25","3","193"
"867721","4509849","Brooklyn","Bedford-Stuyvesant","40.68344","-73.92189","Private room","65","3","132","2019-06-30","1.68","3","35"
"867749","745186","Brooklyn","Crown Heights","40.67813","-73.96355","Entire home/apt","200","30","1","2015-07-19","0.02","1","283"
"867769","4509849","Brooklyn","Bedford-Stuyvesant","40.68411","-73.92973","Private room","65","3","116","2019-05-21","1.47","3","73"
"870119","355548","Brooklyn","Clinton Hill","40.69208","-73.96525","Entire home/apt","185","4","8","2018-08-27","0.22","1","8"
"872035","4599027","Manhattan","East Harlem","40.8032","-73.94004","Private room","100","30","0","","null","2","365"
"873465","3588693","Brooklyn","Flatbush","40.65307","-73.95781","Entire home/apt","115","2","20","2019-05-19","0.25","1","282"
"873701","699759","Brooklyn","Crown Heights","40.67121","-73.95534","Entire home/apt","140","4","125","2019-06-11","1.6","1","239"
"874683","4617159","Brooklyn","Bushwick","40.68777","-73.91601","Private room","62","2","22","2019-06-30","0.37","1","87"
"874706","4616773","Brooklyn","Kensington","40.64534","-73.97189","Entire home/apt","95","3","154","2019-07-01","2","1","310"
"875567","4622733","Manhattan","West Village","40.73746","-74.00686","Entire home/apt","113","3","71","2019-06-09","0.95","1","343"
"876355","3994331","Manhattan","Morningside Heights","40.81368","-73.95942","Entire home/apt","108","30","5","2019-01-19","0.07","1","230"
"876565","4509849","Brooklyn","Bedford-Stuyvesant","40.68598","-73.92677","Private room","62","3","112","2019-06-30","1.43","3","59"
"877135","4628887","Brooklyn","Williamsburg","40.71518","-73.94571","Entire home/apt","95","3","36","2019-06-16","0.95","1","89"
"880256","4655169","Manhattan","Harlem","40.82764","-73.93842","Entire home/apt","165","2","21","2019-01-02","0.3","1","347"
"880424","3549531","Brooklyn","Prospect-Lefferts Gardens","40.65514","-73.95956","Private room","60","1","109","2019-06-04","1.52","1","2"
"882209","3673451","Brooklyn","Williamsburg","40.70502","-73.95262","Private room","80","2","37","2019-05-04","0.56","2","89"
"882559","4670155","Manhattan","Hell's Kitchen","40.76113","-73.98918","Private room","110","3","213","2019-06-24","2.79","1","281"
"883209","4158086","Brooklyn","Bedford-Stuyvesant","40.69132","-73.94205","Shared room","50","3","15","2017-09-16","0.2","1","365"
"883306","4310378","Brooklyn","Clinton Hill","40.69494","-73.96372","Private room","79","2","102","2019-06-17","1.41","3","361"
"883423","4313683","Brooklyn","Carroll Gardens","40.67996","-74.00101","Entire home/apt","140","3","93","2019-05-04","1.24","1","65"
"883517","4677362","Manhattan","Upper West Side","40.78615","-73.98137","Entire home/apt","339","4","28","2019-07-06","0.37","1","167"
"886808","4701443","Queens","Flushing","40.75088","-73.81029","Private room","55","1","116","2019-06-14","1.51","2","298"
"886833","4701443","Queens","Flushing","40.7525","-73.81126","Entire home/apt","81","1","313","2019-07-05","4.09","2","263"
"887129","3490818","Brooklyn","Williamsburg","40.71437","-73.96054","Entire home/apt","191","3","156","2019-06-30","2.08","1","21"
"887292","4704914","Brooklyn","Bushwick","40.69982","-73.91957","Entire home/apt","139","3","106","2019-05-08","1.42","1","248"
"887355","4705358","Manhattan","Murray Hill","40.74791","-73.97334","Entire home/apt","500","5","1","2015-03-25","0.02","1","281"
"888583","4282125","Brooklyn","Greenpoint","40.734","-73.95474","Entire home/apt","120","2","27","2019-01-01","0.35","1","280"
"890794","4731046","Queens","Jackson Heights","40.75374","-73.8924","Private room","70","2","0","","null","1","188"
"890839","831185","Brooklyn","Crown Heights","40.68015","-73.96299","Entire home/apt","295","2","8","2019-05-28","0.11","3","365"
"891117","4734398","Manhattan","Harlem","40.82264","-73.94041","Private room","49","1","594","2019-06-15","7.57","3","339"
"892704","4746193","Brooklyn","Bedford-Stuyvesant","40.68485","-73.93684","Entire home/apt","120","2","163","2019-07-05","2.12","1","161"
"893413","4751930","Manhattan","East Village","40.72668","-73.98179","Entire home/apt","2500","30","15","2019-07-01","0.26","1","89"
"893853","1208402","Manhattan","Flatiron District","40.74207","-73.99094","Entire home/apt","175","25","49","2016-10-17","0.63","1","188"
"894015","4622027","Brooklyn","Bedford-Stuyvesant","40.68194","-73.92896","Entire home/apt","107","2","147","2019-06-22","1.89","1","27"
"894063","1803302","Brooklyn","Williamsburg","40.71216","-73.96326","Private room","98","3","78","2019-05-27","1.01","1","268"
"895368","4770121","Manhattan","Harlem","40.82434","-73.93957","Entire home/apt","100","180","0","","null","4","365"
"895386","2265770","Manhattan","Harlem","40.80706","-73.95403","Entire home/apt","170","5","86","2019-06-21","1.13","3","29"
"898669","4782600","Manhattan","West Village","40.73276","-74.00074","Entire home/apt","150","3","90","2019-03-24","1.17","1","184"
"898861","3546135","Queens","Briarwood","40.71156","-73.8091","Entire home/apt","63","3","104","2019-06-19","1.35","1","256"
"900383","4808242","Brooklyn","Bedford-Stuyvesant","40.68145","-73.95178","Shared room","110","3","28","2019-04-11","0.36","1","34"
"903947","4734398","Manhattan","Harlem","40.82124","-73.93838","Private room","49","1","597","2019-06-23","7.72","3","342"
"903972","4734398","Manhattan","Harlem","40.82085","-73.94025","Private room","49","1","607","2019-06-21","7.75","3","293"
"904060","4834187","Brooklyn","Clinton Hill","40.68496","-73.96111","Entire home/apt","165","4","37","2018-09-30","0.47","1","343"
"905425","4843750","Brooklyn","Greenpoint","40.73425","-73.95506","Entire home/apt","160","5","152","2019-06-19","2.1","1","281"
"905947","4847926","Brooklyn","Flatbush","40.64388","-73.95279","Private room","38","3","66","2019-06-10","0.93","3","283"
"906038","4848828","Manhattan","Upper West Side","40.79626","-73.96145","Entire home/apt","170","7","28","2019-05-22","0.37","1","333"
"906058","4765670","Manhattan","Morningside Heights","40.80776","-73.9654","Private room","105","2","233","2019-06-23","3.01","1","294"
"907966","4864306","Brooklyn","Greenpoint","40.72676","-73.95529","Private room","50","2","30","2019-07-02","0.42","3","249"
"908046","4599027","Manhattan","East Harlem","40.801","-73.94009","Private room","100","30","0","","null","2","365"
"909859","3343848","Brooklyn","Park Slope","40.6734","-73.97657","Entire home/apt","890","3","26","2018-11-27","0.34","1","341"
"910976","4887492","Manhattan","Financial District","40.71078","-74.00995","Private room","160","3","24","2018-02-12","0.31","2","352"
"911092","4888892","Manhattan","East Village","40.723","-73.97861","Entire home/apt","145","2","157","2019-06-23","2.03","1","221"
"912376","4103952","Brooklyn","Bedford-Stuyvesant","40.69901","-73.93967","Private room","51","3","4","2019-01-03","0.06","1","188"
"915020","181756","Brooklyn","South Slope","40.66414","-73.98457","Entire home/apt","150","3","136","2019-07-07","1.8","1","301"
"916311","511175","Manhattan","East Village","40.72361","-73.97877","Private room","180","3","5","2017-02-19","0.08","2","31"
"917058","4924435","Manhattan","Greenwich Village","40.73356","-73.99876","Entire home/apt","225","1","3","2019-01-01","0.04","1","188"
